id,speciality_code,test_code,name_uz,name_cy,name_ru,name_en,created_at,updated_at,admission,type,year,subject_1,subject_2,subject_3
40926,5111800,,Maktabgacha ta’lim,Maktabgacha ta’lim,Maktabgacha ta’lim,,2020-07-12 16:42:55,2020-07-12 16:42:55,"O:27:""common\models\AdmissionData"":18:{s:4:""name"";N;s:9:""test_code"";N;s:15:""speciality_code"";N;s:8:""subject1"";N;s:8:""subject2"";N;s:8:""subject3"";N;s:7:""quote_c"";d:80;s:7:""quote_p"";d:120;s:7:""place_c"";i:17;s:7:""place_p"";i:7;s:10:""ball_con_c"";d:135.30000000000001;s:10:""ball_con_p"";d:137.09999999999999;s:14:""avg_ball_con_c"";d:162.59999999999999;s:14:""avg_ball_con_p"";d:153.80000000000001;s:10:""ball_gra_c"";d:217.19999999999999;s:10:""ball_gra_p"";d:187.30000000000001;s:14:""avg_ball_gra_c"";d:220.5;s:14:""avg_ball_gra_p"";d:200.5;}",0,2020,101,21,22
40927,5112000,,Jismoniy madaniyat,Jismoniy madaniyat,Jismoniy madaniyat,,2020-07-12 16:42:55,2020-07-12 16:42:55,"O:27:""common\models\AdmissionData"":18:{s:4:""name"";N;s:9:""test_code"";N;s:15:""speciality_code"";N;s:8:""subject1"";N;s:8:""subject2"";N;s:8:""subject3"";N;s:7:""quote_c"";d:40;s:7:""quote_p"";d:40;s:7:""place_c"";i:16;s:7:""place_p"";i:13;s:10:""ball_con_c"";d:142.5;s:10:""ball_con_p"";d:139.30000000000001;s:14:""avg_ball_con_c"";d:158.69999999999999;s:14:""avg_ball_con_p"";d:158.59999999999999;s:10:""ball_gra_c"";d:191.09999999999999;s:10:""ball_gra_p"";d:197.30000000000001;s:14:""avg_ball_gra_c"";d:203.09999999999999;s:14:""avg_ball_gra_p"";d:207.19999999999999;}",0,2020,101,21,22
40928,5112001,,Jismoniy madaniyat (xotin-qizlar sporti yo‘nalishi bo‘yicha),Jismoniy madaniyat (xotin-qizlar sporti yo‘nalishi bo‘yicha),Jismoniy madaniyat (xotin-qizlar sporti yo‘nalishi bo‘yicha),,2020-07-12 16:42:55,2020-07-12 16:42:55,"O:27:""common\models\AdmissionData"":18:{s:4:""name"";N;s:9:""test_code"";N;s:15:""speciality_code"";N;s:8:""subject1"";N;s:8:""subject2"";N;s:8:""subject3"";N;s:7:""quote_c"";d:110;s:7:""quote_p"";d:20;s:7:""place_c"";i:16;s:7:""place_p"";i:5;s:10:""ball_con_c"";d:137.30000000000001;s:10:""ball_con_p"";d:135.09999999999999;s:14:""avg_ball_con_c"";d:154.90000000000001;s:14:""avg_ball_con_p"";d:154.5;s:10:""ball_gra_c"";d:190.09999999999999;s:10:""ball_gra_p"";d:193.19999999999999;s:14:""avg_ball_gra_c"";d:202.40000000000001;s:14:""avg_ball_gra_p"";d:204.5;}",0,2020,101,21,22
40929,5112100,,Texnologik ta’lim,Texnologik ta’lim,Texnologik ta’lim,,2020-07-12 16:42:55,2020-07-12 16:42:55,"O:27:""common\models\AdmissionData"":18:{s:4:""name"";N;s:9:""test_code"";N;s:15:""speciality_code"";N;s:8:""subject1"";N;s:8:""subject2"";N;s:8:""subject3"";N;s:7:""quote_c"";d:40;s:7:""quote_p"";d:10;s:7:""place_c"";d:15.5;s:7:""place_p"";i:7;s:10:""ball_con_c"";d:136.09999999999999;s:10:""ball_con_p"";d:135.09999999999999;s:14:""avg_ball_con_c"";d:145.09999999999999;s:14:""avg_ball_con_p"";d:148.09999999999999;s:10:""ball_gra_c"";d:163.09999999999999;s:10:""ball_gra_p"";d:174.19999999999999;s:14:""avg_ball_gra_c"";d:184.40000000000001;s:14:""avg_ball_gra_p"";d:191.80000000000001;}",0,2020,101,21,22
40930,5120101,,Filologiya va tillarni o‘qitish: o‘zbek tili,Filologiya va tillarni o‘qitish: o‘zbek tili,Filologiya va tillarni o‘qitish: o‘zbek tili,,2020-07-12 16:42:55,2020-07-12 16:42:55,"O:27:""common\models\AdmissionData"":18:{s:4:""name"";N;s:9:""test_code"";N;s:15:""speciality_code"";N;s:8:""subject1"";N;s:8:""subject2"";N;s:8:""subject3"";N;s:7:""quote_c"";d:100;s:7:""quote_p"";d:110;s:7:""place_c"";i:15;s:7:""place_p"";i:17;s:10:""ball_con_c"";d:127.09999999999999;s:10:""ball_con_p"";d:143.09999999999999;s:14:""avg_ball_con_c"";d:142.80000000000001;s:14:""avg_ball_con_p"";d:157.09999999999999;s:10:""ball_gra_c"";d:174.09999999999999;s:10:""ball_gra_p"";d:185.09999999999999;s:14:""avg_ball_gra_c"";d:191.69999999999999;s:14:""avg_ball_gra_p"";d:199.09999999999999;}",0,2020,101,21,22
40931,5120300,,Tarix (mamlakatlar va yo‘nalishlar bo‘yicha),Tarix (mamlakatlar va yo‘nalishlar bo‘yicha),Tarix (mamlakatlar va yo‘nalishlar bo‘yicha),,2020-07-12 16:42:55,2020-07-12 16:42:55,"O:27:""common\models\AdmissionData"":18:{s:4:""name"";N;s:9:""test_code"";N;s:15:""speciality_code"";N;s:8:""subject1"";N;s:8:""subject2"";N;s:8:""subject3"";N;s:7:""quote_c"";d:100;s:7:""quote_p"";d:120;s:7:""place_c"";d:6.5;s:7:""place_p"";d:16.5;s:10:""ball_con_c"";d:138.5;s:10:""ball_con_p"";d:152.09999999999999;s:14:""avg_ball_con_c"";d:147.5;s:14:""avg_ball_con_p"";d:170.59999999999999;s:10:""ball_gra_c"";d:165.5;s:10:""ball_gra_p"";d:207.5;s:14:""avg_ball_gra_c"";d:186;s:14:""avg_ball_gra_p"";d:214;}",0,2020,101,21,22
40932,5130100,,Matematika,Matematika,Matematika,,2020-07-12 16:42:55,2020-07-12 16:42:55,"O:27:""common\models\AdmissionData"":18:{s:4:""name"";N;s:9:""test_code"";N;s:15:""speciality_code"";N;s:8:""subject1"";N;s:8:""subject2"";N;s:8:""subject3"";N;s:7:""quote_c"";d:20;s:7:""quote_p"";d:20;s:7:""place_c"";i:13;s:7:""place_p"";d:15.5;s:10:""ball_con_c"";d:141.09999999999999;s:10:""ball_con_p"";d:127.09999999999999;s:14:""avg_ball_con_c"";d:163.09999999999999;s:14:""avg_ball_con_p"";d:145.09999999999999;s:10:""ball_gra_c"";d:207.09999999999999;s:10:""ball_gra_p"";d:181;s:14:""avg_ball_gra_c"";d:213.69999999999999;s:14:""avg_ball_gra_p"";d:196.30000000000001;}",0,2020,101,21,22
40933,5130200,,Amaliy matematika,Amaliy matematika,Amaliy matematika,,2020-07-12 16:42:55,2020-07-12 16:42:55,"O:27:""common\models\AdmissionData"":18:{s:4:""name"";N;s:9:""test_code"";N;s:15:""speciality_code"";N;s:8:""subject1"";N;s:8:""subject2"";N;s:8:""subject3"";N;s:7:""quote_c"";d:90;s:7:""quote_p"";d:100;s:7:""place_c"";d:14.5;s:7:""place_p"";i:14;s:10:""ball_con_c"";d:139.09999999999999;s:10:""ball_con_p"";d:121.09999999999999;s:14:""avg_ball_con_c"";d:164.09999999999999;s:14:""avg_ball_con_p"";d:149.40000000000001;s:10:""ball_gra_c"";d:214.09999999999999;s:10:""ball_gra_p"";d:206;s:14:""avg_ball_gra_c"";d:218.40000000000001;s:14:""avg_ball_gra_p"";d:213;}",0,2020,101,21,22
40934,5140100,,Biologiya (turlari bo‘yicha),Biologiya (turlari bo‘yicha),Biologiya (turlari bo‘yicha),,2020-07-12 16:42:55,2020-07-12 16:42:55,"O:27:""common\models\AdmissionData"":18:{s:4:""name"";N;s:9:""test_code"";N;s:15:""speciality_code"";N;s:8:""subject1"";N;s:8:""subject2"";N;s:8:""subject3"";N;s:7:""quote_c"";d:20;s:7:""quote_p"";d:80;s:7:""place_c"";d:5.5;s:7:""place_p"";i:12;s:10:""ball_con_c"";d:156.19999999999999;s:10:""ball_con_p"";d:132.19999999999999;s:14:""avg_ball_con_c"";d:163.90000000000001;s:14:""avg_ball_con_p"";d:144;s:10:""ball_gra_c"";d:179.19999999999999;s:10:""ball_gra_p"";d:167.5;s:14:""avg_ball_gra_c"";d:195.09999999999999;s:14:""avg_ball_gra_p"";d:187.30000000000001;}",0,2020,101,21,22
40935,5140200,,Fizika,Fizika,Fizika,,2020-07-12 16:42:55,2020-07-12 16:42:55,"O:27:""common\models\AdmissionData"":18:{s:4:""name"";N;s:9:""test_code"";N;s:15:""speciality_code"";N;s:8:""subject1"";N;s:8:""subject2"";N;s:8:""subject3"";N;s:7:""quote_c"";d:40;s:7:""quote_p"";d:60;s:7:""place_c"";i:7;s:7:""place_p"";i:7;s:10:""ball_con_c"";d:137.09999999999999;s:10:""ball_con_p"";d:157.09999999999999;s:14:""avg_ball_con_c"";d:158.09999999999999;s:14:""avg_ball_con_p"";d:174.40000000000001;s:10:""ball_gra_c"";d:200.09999999999999;s:10:""ball_gra_p"";d:209.09999999999999;s:14:""avg_ball_gra_c"";d:209.09999999999999;s:14:""avg_ball_gra_p"";d:215.09999999999999;}",0,2020,101,21,22
